2025_03_29__15:59:23.855094: CONFIG: VISUALIZE: True, CAMERA_MODE: sim, COMM_MODE: sim, AGENT_MODE: 0, MISSION: 0, LOGGER: True, WEIGHTS_PATH: yolov5/weights/yolov5_models/best_adri.pt, 
2025_03_29__15:59:32.182339: Iter 39, FPS: 9.5, STATE: {'status': 'as_driving', 'speed': 0.00015985386562533677, 'rpm': -1.0, 'speed_senfl': -1.0, 'fps': 9.477860608265523, 'orientation_y_rad': 0.0}, ACTUATION: {'acc': 1.0, 'steer': 1.0, 'throttle': 0.0, 'brake': 0.04996647834777832}
2025_03_29__15:59:32.288775: Iter 40, FPS: 9.2, STATE: {'status': 'as_driving', 'speed': -7.537924830103293e-05, 'rpm': -1.0, 'speed_senfl': -1.0, 'fps': 9.175257912375418, 'orientation_y_rad': 0.0}, ACTUATION: {'acc': 1.0, 'steer': 1.0, 'throttle': 0.0, 'brake': 0.04996647834777832}
2025_03_29__15:59:32.425839: Iter 41, FPS: 9.4, STATE: {'status': 'as_driving', 'speed': -5.312348730512895e-05, 'rpm': -1.0, 'speed_senfl': -1.0, 'fps': 9.39647377735959, 'orientation_y_rad': 0.0}, ACTUATION: {'acc': 1.0, 'steer': 1.0, 'throttle': 0.0, 'brake': 0.04996647834777832}
2025_03_29__15:59:32.548786: Iter 42, FPS: 7.3, STATE: {'status': 'as_driving', 'speed': -1.4338696018967312e-05, 'rpm': -1.0, 'speed_senfl': -1.0, 'fps': 7.296332440928171, 'orientation_y_rad': 0.0}, ACTUATION: {'acc': 1.0, 'steer': 1.0, 'throttle': 0.0, 'brake': 0.04996647834777832}
2025_03_29__15:59:32.657328: Iter 43, FPS: 8.1, STATE: {'status': 'as_driving', 'speed': 2.5871548132272437e-05, 'rpm': -1.0, 'speed_senfl': -1.0, 'fps': 8.133429774262295, 'orientation_y_rad': 0.0}, ACTUATION: {'acc': 1.0, 'steer': 1.0, 'throttle': 0.0, 'brake': 0.04996647834777832}
2025_03_29__15:59:32.765213: Iter 44, FPS: 9.2, STATE: {'status': 'as_driving', 'speed': 6.405673775589094e-05, 'rpm': -1.0, 'speed_senfl': -1.0, 'fps': 9.213249071383228, 'orientation_y_rad': 0.0}, ACTUATION: {'acc': 1.0, 'steer': 1.0, 'throttle': 0.0, 'brake': 0.04996647834777832}
2025_03_29__15:59:32.868822: Iter 45, FPS: 9.3, STATE: {'status': 'as_driving', 'speed': 2.7316045816405676e-05, 'rpm': -1.0, 'speed_senfl': -1.0, 'fps': 9.271249494362278, 'orientation_y_rad': 0.0}, ACTUATION: {'acc': 1.0, 'steer': 1.0, 'throttle': 0.0, 'brake': 0.04996647834777832}
2025_03_29__15:59:32.964798: Iter 46, FPS: 9.7, STATE: {'status': 'as_driving', 'speed': 5.741812856285833e-05, 'rpm': -1.0, 'speed_senfl': -1.0, 'fps': 9.652040842156616, 'orientation_y_rad': 0.0}, ACTUATION: {'acc': 1.0, 'steer': 1.0, 'throttle': 0.0, 'brake': 0.04996647834777832}
2025_03_29__15:59:33.087603: Iter 47, FPS: 10.4, STATE: {'status': 'as_driving', 'speed': 8.553190127713606e-05, 'rpm': -1.0, 'speed_senfl': -1.0, 'fps': 10.420009738549751, 'orientation_y_rad': 0.0}, ACTUATION: {'acc': 1.0, 'steer': 1.0, 'throttle': 0.0, 'brake': 0.04996647834777832}
2025_03_29__15:59:33.194790: Iter 48, FPS: 8.1, STATE: {'status': 'as_driving', 'speed': 8.70332369231619e-05, 'rpm': -1.0, 'speed_senfl': -1.0, 'fps': 8.14314115308151, 'orientation_y_rad': 0.0}, ACTUATION: {'acc': 1.0, 'steer': 1.0, 'throttle': 0.0, 'brake': 0.04996647834777832}
