2025_03_29__14:19:37.687632: CONFIG: VISUALIZE: True, CAMERA_MODE: sim, COMM_MODE: sim, AGENT_MODE: 0, MISSION: 0, LOGGER: True, WEIGHTS_PATH: yolov5/weights/yolov5_models/best_adri.pt, 
2025_03_29__14:19:54.162236: Iter 40, FPS: 8.5, STATE: {'status': 'as_driving', 'speed': 5.602191925048828, 'rpm': -1.0, 'speed_senfl': -1.0, 'fps': 8.492247387112318, 'orientation_y_rad': 0.0}, ACTUATION: {'acc': 0, 'steer': -0.008107006742763379, 'throttle': 0.0, 'brake': 0.060219192504882814}
2025_03_29__14:19:54.273039: Iter 41, FPS: 9.3, STATE: {'status': 'as_driving', 'speed': 5.326690196990967, 'rpm': -1.0, 'speed_senfl': -1.0, 'fps': 9.30907024797974, 'orientation_y_rad': 0.0}, ACTUATION: {'acc': 0, 'steer': -0.009148936005395736, 'throttle': 0.0, 'brake': 0.032669019699096684}
2025_03_29__14:19:54.381516: Iter 42, FPS: 9.0, STATE: {'status': 'as_driving', 'speed': 5.08021354675293, 'rpm': -1.0, 'speed_senfl': -1.0, 'fps': 9.024763585114737, 'orientation_y_rad': 0.0}, ACTUATION: {'acc': 0, 'steer': 0.22819881819886068, 'throttle': 0.0, 'brake': 0.008021354675292969}
2025_03_29__14:19:54.491962: Iter 43, FPS: 9.2, STATE: {'status': 'as_driving', 'speed': 4.918463706970215, 'rpm': -1.0, 'speed_senfl': -1.0, 'fps': 9.21902048962331, 'orientation_y_rad': 0.0}, ACTUATION: {'acc': 1.0, 'steer': 0.22545574775198374, 'throttle': 0.0, 'brake': 0.008021354675292969}
2025_03_29__14:19:54.608987: Iter 44, FPS: 9.1, STATE: {'status': 'as_driving', 'speed': 5.009661674499512, 'rpm': -1.0, 'speed_senfl': -1.0, 'fps': 9.056585521741571, 'orientation_y_rad': 0.0}, ACTUATION: {'acc': 0, 'steer': 0.18544077152475175, 'throttle': 0.0, 'brake': 0.0009661674499511719}
2025_03_29__14:19:54.715135: Iter 45, FPS: 8.5, STATE: {'status': 'as_driving', 'speed': 5.979063510894775, 'rpm': -1.0, 'speed_senfl': -1.0, 'fps': 8.542649047626806, 'orientation_y_rad': 0.0}, ACTUATION: {'acc': 0, 'steer': 0.11905331679488962, 'throttle': 0.0, 'brake': 0.09790635108947754}
2025_03_29__14:19:54.827076: Iter 46, FPS: 9.4, STATE: {'status': 'as_driving', 'speed': 6.8811516761779785, 'rpm': -1.0, 'speed_senfl': -1.0, 'fps': 9.425762332493601, 'orientation_y_rad': 0.0}, ACTUATION: {'acc': 0, 'steer': 0.047220861598359365, 'throttle': 0.0, 'brake': 0.18811516761779787}
2025_03_29__14:19:54.936968: Iter 47, FPS: 8.9, STATE: {'status': 'as_driving', 'speed': 7.521003246307373, 'rpm': -1.0, 'speed_senfl': -1.0, 'fps': 8.934449241990146, 'orientation_y_rad': 0.0}, ACTUATION: {'acc': 0, 'steer': 0.014893864708152127, 'throttle': 0.0, 'brake': 0.25210032463073734}
2025_03_29__14:19:55.046472: Iter 48, FPS: 9.1, STATE: {'status': 'as_driving', 'speed': 7.376767158508301, 'rpm': -1.0, 'speed_senfl': -1.0, 'fps': 9.100385555866547, 'orientation_y_rad': 0.0}, ACTUATION: {'acc': 0, 'steer': -0.01564104221201773, 'throttle': 0.0, 'brake': 0.23767671585083008}
2025_03_29__14:19:55.153492: Iter 49, FPS: 9.1, STATE: {'status': 'as_driving', 'speed': 6.913352012634277, 'rpm': -1.0, 'speed_senfl': -1.0, 'fps': 9.133658817022129, 'orientation_y_rad': 0.0}, ACTUATION: {'acc': 0, 'steer': -0.034301095917315894, 'throttle': 0.0, 'brake': 0.19133520126342773}
2025_03_29__14:19:55.263337: Iter 50, FPS: 9.3, STATE: {'status': 'as_driving', 'speed': 6.446713447570801, 'rpm': -1.0, 'speed_senfl': -1.0, 'fps': 9.344826741110916, 'orientation_y_rad': 0.0}, ACTUATION: {'acc': 0, 'steer': 0.4558671588642911, 'throttle': 0.0, 'brake': 0.14467134475708007}
2025_03_29__14:19:55.371829: Iter 51, FPS: 9.1, STATE: {'status': 'as_driving', 'speed': 6.027156352996826, 'rpm': -1.0, 'speed_senfl': -1.0, 'fps': 9.10435605567277, 'orientation_y_rad': 0.0}, ACTUATION: {'acc': 0, 'steer': 0.45754809884788156, 'throttle': 0.0, 'brake': 0.10271563529968263}
2025_03_29__14:19:55.482893: Iter 52, FPS: 9.2, STATE: {'status': 'as_driving', 'speed': 5.659707546234131, 'rpm': -1.0, 'speed_senfl': -1.0, 'fps': 9.217683307400863, 'orientation_y_rad': 0.0}, ACTUATION: {'acc': 0, 'steer': 0.40426302699152267, 'throttle': 0.0, 'brake': 0.06597075462341309}
2025_03_29__14:19:55.591423: Iter 53, FPS: 9.0, STATE: {'status': 'as_driving', 'speed': 5.283672332763672, 'rpm': -1.0, 'speed_senfl': -1.0, 'fps': 9.00430432085116, 'orientation_y_rad': 0.0}, ACTUATION: {'acc': 0, 'steer': 0.319856711601011, 'throttle': 0.0, 'brake': 0.028367233276367188}
2025_03_29__14:19:55.698791: Iter 54, FPS: 9.2, STATE: {'status': 'as_driving', 'speed': 5.0778584480285645, 'rpm': -1.0, 'speed_senfl': -1.0, 'fps': 9.215334048125428, 'orientation_y_rad': 0.0}, ACTUATION: {'acc': 0, 'steer': 0.20172683125839697, 'throttle': 0.0, 'brake': 0.0077858448028564455}
